,City,Cloudiness,Country,Datetime,Humidity,Lat,Long,Max Temp,Wind Speed
294,Tazovsky,100,RU,06/22/2021,93,67.4667,78.7,37.8,15.17
295,Keflavik,0,IS,06/22/2021,93,64.0049,-22.5624,48.11,10.36
296,Puerto Escondido,89,MX,06/22/2021,74,15.85,-97.0667,84.04,3.71
297,Ostrovnoy,74,RU,06/22/2021,91,68.0531,39.5131,61.97,8.75
298,Flinders,99,AU,06/22/2021,78,-34.5833,150.8552,61.05,3.0
299,Marawi,59,PH,06/22/2021,75,7.9986,124.2928,73.65,0.83
300,Lavrentiya,37,RU,06/22/2021,68,65.5833,-171.0,51.04,2.53
301,Tiarei,11,PF,06/22/2021,77,-17.5333,-149.3333,84.22,3.91
302,Rocha,43,UY,06/22/2021,95,-34.4833,-54.3333,48.9,6.87
303,Pilar,2,BR,06/22/2021,92,-9.5972,-35.9567,73.33,1.95
304,Aquiraz,40,BR,06/22/2021,78,-3.9014,-38.3911,81.18,8.99
305,Margate,100,GB,06/22/2021,74,51.3813,1.3862,55.99,4.0
306,Galesong,12,ID,06/22/2021,79,-5.3166,119.3661,75.22,5.01
307,Bafra,58,TR,06/22/2021,86,41.5678,35.9069,67.78,2.06
308,Svetlaya,9,RU,06/22/2021,61,46.5389,138.3297,67.12,8.25
309,Nurota,0,UZ,06/22/2021,28,40.5614,65.6886,64.49,11.81
310,Predejane,0,RS,06/22/2021,78,42.8294,22.1311,73.4,2.3
311,Weihai,0,CN,06/22/2021,68,37.5017,122.1136,70.68,4.72
312,Broome,75,US,06/22/2021,66,42.2506,-75.833,58.66,1.01
313,Honningsvåg,100,NO,06/22/2021,88,70.9821,25.9704,43.97,15.43
314,Clyde River,90,CA,06/22/2021,100,70.4692,-68.5914,33.8,13.8
315,Guangyuan,100,CN,06/22/2021,79,32.442,105.823,75.87,1.48
316,Hamilton,1,US,06/22/2021,47,39.1834,-84.5333,69.75,4.61
317,Oruzgan,0,AF,06/22/2021,12,32.8333,66.0,67.06,6.04
318,Dunedin,37,NZ,06/22/2021,54,-45.8742,170.5036,49.8,5.01
319,Porto Torres,0,IT,06/22/2021,94,40.835,8.3972,66.2,2.3
320,Tinaquillo,58,VE,06/22/2021,97,9.9186,-68.3047,70.27,1.25
321,Agüimes,40,ES,06/22/2021,70,27.9054,-15.4461,67.86,19.57
322,Nelson Bay,98,AU,06/22/2021,93,-32.7167,152.15,58.28,9.75
323,Metu,93,ET,06/22/2021,98,8.3,35.5833,56.95,1.95
324,Comodoro Rivadavia,75,AR,06/22/2021,87,-45.8667,-67.5,42.66,8.05
325,Healdsburg,1,US,06/22/2021,55,38.6105,-122.8692,84.52,1.01
326,Aksu,72,CN,06/22/2021,43,41.1231,80.2644,68.32,7.07
327,Mae Sai,99,TH,06/22/2021,94,20.4335,99.8762,78.44,0.76
328,Timiryazevskiy,100,RU,06/22/2021,93,56.49,84.8769,51.01,6.22
329,Bozdar Wada,15,PK,06/22/2021,54,27.1828,68.636,89.56,12.3
330,Opuwo,2,NA,06/22/2021,38,-18.0607,13.84,56.89,8.08
331,Norman Wells,75,CA,06/22/2021,45,65.282,-126.8329,66.2,23.02
332,Saint George,1,US,06/22/2021,10,37.1041,-113.5841,102.67,13.0
333,Srednekolymsk,98,RU,06/22/2021,33,67.45,153.6833,72.55,3.4
334,Aripuanã,44,BR,06/22/2021,60,-9.1667,-60.6333,77.29,1.97
335,Kongolo,58,CD,06/22/2021,53,-5.3833,27.0,71.44,2.3
